muestra_id,origen_grifo,timestep,MQ2,MQ4,MQ135,MQ3,MQ7,MQ9,temp,humedad
MUESTRA_019,Grifo_2,27,23178.0,21714.0,22394.0,2875.0,19542.0,2821.0,25.9,33.0
MUESTRA_019,Grifo_2,28,23183.0,21719.0,22400.0,2850.0,19550.0,2849.0,25.9,33.0
MUESTRA_019,Grifo_2,29,23176.0,21709.0,22399.0,2873.0,19533.0,2818.0,25.9,33.0
MUESTRA_019,Grifo_2,30,23180.0,21710.0,22399.0,2855.0,19538.0,2853.0,25.9,33.0
MUESTRA_020,Grifo_2,1,23189.0,21695.0,22386.0,2859.0,19541.0,2854.0,25.9,33.0
MUESTRA_020,Grifo_2,2,23179.0,21695.0,22395.0,2872.0,19537.0,2816.0,25.9,33.0
MUESTRA_020,Grifo_2,3,23188.0,21701.0,22396.0,2870.0,19551.0,2825.0,25.9,33.0
MUESTRA_020,Grifo_2,4,23175.0,21701.0,22407.0,2859.0,19545.0,2851.0,25.9,32.9
MUESTRA_020,Grifo_2,5,23185.0,21689.0,22408.0,2869.0,19541.0,2804.0,25.9,32.9
MUESTRA_020,Grifo_2,6,23178.0,21697.0,22423.0,2866.0,19548.0,2825.0,26.0,33.0
MUESTRA_020,Grifo_2,7,23193.0,21710.0,22422.0,2862.0,19545.0,2841.0,26.0,33.0
MUESTRA_020,Grifo_2,8,23195.0,21703.0,22402.0,2868.0,19537.0,2814.0,26.0,33.0
MUESTRA_020,Grifo_2,9,23191.0,21704.0,22395.0,2863.0,19550.0,2834.0,26.0,33.0
MUESTRA_020,Grifo_2,10,23192.0,21695.0,22413.0,2873.0,19540.0,2816.0,26.0,33.0
MUESTRA_020,Grifo_2,11,23190.0,21691.0,22377.0,2869.0,19557.0,2819.0,26.0,33.0
MUESTRA_020,Grifo_2,12,23190.0,21690.0,22377.0,2862.0,19550.0,2822.0,26.0,33.0
MUESTRA_020,Grifo_2,13,23190.0,21706.0,22397.0,2864.0,19559.0,2832.0,26.0,33.0
MUESTRA_020,Grifo_2,14,23171.0,21679.0,22384.0,2862.0,19540.0,2842.0,26.0,33.0
MUESTRA_020,Grifo_2,15,23197.0,21707.0,22398.0,2861.0,19563.0,2830.0,26.0,33.0
MUESTRA_020,Grifo_2,16,23196.0,21696.0,22373.0,2856.0,19553.0,2848.0,26.0,32.9
MUESTRA_020,Grifo_2,17,23200.0,21699.0,22406.0,2877.0,19551.0,2821.0,26.0,32.9
MUESTRA_020,Grifo_2,18,23195.0,21688.0,22381.0,2870.0,19554.0,2816.0,26.0,33.0
MUESTRA_020,Grifo_2,19,23202.0,21687.0,22389.0,2856.0,19532.0,2842.0,26.0,33.0
MUESTRA_020,Grifo_2,20,23202.0,21696.0,22412.0,2871.0,19546.0,2812.0,26.1,33.0
MUESTRA_020,Grifo_2,21,23185.0,21681.0,22412.0,2858.0,19536.0,2824.0,26.1,33.0
MUESTRA_020,Grifo_2,22,23201.0,21678.0,22409.0,2853.0,19534.0,2845.0,26.1,32.9
MUESTRA_020,Grifo_2,23,23182.0,21678.0,22401.0,2875.0,19530.0,2833.0,26.1,32.9
MUESTRA_020,Grifo_2,24,23175.0,21682.0,22396.0,2863.0,19533.0,2818.0,26.1,33.0
MUESTRA_020,Grifo_2,25,23183.0,21690.0,22426.0,2856.0,19541.0,2841.0,26.1,33.0
MUESTRA_020,Grifo_2,26,23172.0,21675.0,22412.0,2873.0,19543.0,2823.0,26.1,32.9
MUESTRA_020,Grifo_2,27,23193.0,21673.0,22411.0,2854.0,19544.0,2831.0,26.1,32.9
MUESTRA_020,Grifo_2,28,23186.0,21687.0,22415.0,2861.0,19546.0,2843.0,26.1,32.9
MUESTRA_020,Grifo_2,29,23187.0,21673.0,22434.0,2862.0,19539.0,2837.0,26.1,32.9
MUESTRA_020,Grifo_2,30,23194.0,21685.0,22440.0,2862.0,19548.0,2824.0,26.2,32.9
MUESTRA_021,Grifo_2,1,23184.0,21668.0,22430.0,2853.0,19535.0,2841.0,26.2,32.9
MUESTRA_021,Grifo_2,2,23191.0,21687.0,22532.0,2861.0,19553.0,2842.0,26.2,32.8
MUESTRA_021,Grifo_2,3,23177.0,21668.0,22528.0,2868.0,19556.0,2825.0,26.2,32.8
MUESTRA_021,Grifo_2,4,23194.0,21686.0,22528.0,2853.0,19554.0,2847.0,26.2,32.8
MUESTRA_021,Grifo_2,5,23188.0,21687.0,22540.0,2869.0,19550.0,2825.0,26.2,32.8
MUESTRA_021,Grifo_2,6,23173.0,21674.0,22552.0,2868.0,19545.0,2827.0,26.2,32.8
MUESTRA_021,Grifo_2,7,23187.0,21684.0,22548.0,2853.0,19541.0,2838.0,26.2,32.8
MUESTRA_021,Grifo_2,8,23169.0,21666.0,22539.0,2868.0,19533.0,2808.0,26.2,32.7
MUESTRA_021,Grifo_2,9,23172.0,21668.0,22531.0,2860.0,19528.0,2818.0,26.2,32.7
MUESTRA_021,Grifo_2,10,23175.0,21678.0,22543.0,2859.0,19543.0,2843.0,26.2,32.7
MUESTRA_021,Grifo_2,11,23181.0,21678.0,22544.0,2862.0,19529.0,2832.0,26.2,32.7
MUESTRA_021,Grifo_2,12,23174.0,21680.0,22541.0,2873.0,19526.0,2813.0,26.2,32.7
MUESTRA_021,Grifo_2,13,23185.0,21676.0,22537.0,2850.0,19535.0,2835.0,26.2,32.7
MUESTRA_021,Grifo_2,14,23181.0,21674.0,22561.0,2856.0,19544.0,2841.0,26.2,32.7
MUESTRA_021,Grifo_2,15,23178.0,21682.0,22532.0,2864.0,19532.0,2806.0,26.2,32.7
MUESTRA_021,Grifo_2,16,23186.0,21689.0,22541.0,2852.0,19527.0,2842.0,26.3,32.7
MUESTRA_021,Grifo_2,17,23181.0,21673.0,22547.0,2857.0,19519.0,2837.0,26.3,32.7
MUESTRA_021,Grifo_2,18,23186.0,21704.0,22548.0,2864.0,19532.0,2830.0,26.3,32.6
MUESTRA_021,Grifo_2,19,23172.0,21698.0,22542.0,2853.0,19540.0,2839.0,26.3,32.6
MUESTRA_021,Grifo_2,20,23166.0,21696.0,22535.0,2863.0,19541.0,2836.0,26.3,33.0
MUESTRA_021,Grifo_2,21,23172.0,21701.0,22548.0,2864.0,19549.0,2814.0,26.3,33.0
MUESTRA_021,Grifo_2,22,23158.0,21704.0,22532.0,2855.0,19543.0,2843.0,26.3,32.6
MUESTRA_021,Grifo_2,23,23166.0,21690.0,22523.0,2860.0,19538.0,2842.0,26.3,32.6
MUESTRA_021,Grifo_2,24,23178.0,21687.0,22519.0,2857.0,19536.0,2825.0,26.3,32.6
MUESTRA_021,Grifo_2,25,23157.0,21684.0,22510.0,2854.0,19534.0,2829.0,26.3,32.6
MUESTRA_021,Grifo_2,26,23165.0,21697.0,22519.0,2860.0,19523.0,2833.0,26.3,32.6
MUESTRA_021,Grifo_2,27,23159.0,21682.0,22507.0,2871.0,19514.0,2807.0,26.3,32.6
MUESTRA_021,Grifo_2,28,23169.0,21680.0,22509.0,2853.0,19512.0,2831.0,26.3,32.6
MUESTRA_021,Grifo_2,29,23159.0,21678.0,22503.0,2849.0,19519.0,2833.0,26.3,32.6
MUESTRA_021,Grifo_2,30,23166.0,21678.0,22516.0,2847.0,19517.0,2845.0,26.3,32.7
MUESTRA_022,Grifo_2,1,23172.0,21665.0,22510.0,2845.0,19510.0,2837.0,26.3,32.7
MUESTRA_022,Grifo_2,2,23165.0,21663.0,22510.0,2852.0,19515.0,2838.0,26.3,32.7
MUESTRA_022,Grifo_2,3,23155.0,21657.0,22413.0,2874.0,19517.0,2807.0,26.3,32.7
MUESTRA_022,Grifo_2,4,23178.0,21651.0,22417.0,2872.0,19515.0,2813.0,26.3,32.7
MUESTRA_022,Grifo_2,5,23189.0,21672.0,22440.0,2859.0,19506.0,2829.0,26.3,32.7
MUESTRA_022,Grifo_2,6,23186.0,21669.0,22459.0,2867.0,19517.0,2818.0,26.3,32.8
MUESTRA_022,Grifo_2,7,23191.0,21667.0,22470.0,2844.0,19507.0,2829.0,26.3,32.8
MUESTRA_022,Grifo_2,8,23173.0,21677.0,22472.0,2859.0,19515.0,2835.0,26.4,32.8
MUESTRA_022,Grifo_2,9,23189.0,21666.0,22462.0,2862.0,19521.0,2818.0,26.4,32.8
MUESTRA_022,Grifo_2,10,23174.0,21652.0,22465.0,2847.0,19516.0,2837.0,26.4,32.8
MUESTRA_022,Grifo_2,11,23185.0,21658.0,22463.0,2852.0,19526.0,2831.0,26.4,32.8
MUESTRA_022,Grifo_2,12,23201.0,21659.0,22482.0,2867.0,19547.0,2801.0,26.4,32.8
MUESTRA_022,Grifo_2,13,23196.0,21664.0,22465.0,2851.0,19539.0,2836.0,26.4,32.8
MUESTRA_022,Grifo_2,14,23189.0,21652.0,22470.0,2870.0,19531.0,2808.0,26.4,32.9
MUESTRA_022,Grifo_2,15,23197.0,21652.0,22455.0,2851.0,19530.0,2821.0,26.4,32.9
MUESTRA_022,Grifo_2,16,23200.0,21654.0,22454.0,2855.0,19527.0,2836.0,26.4,32.9
MUESTRA_022,Grifo_2,17,23203.0,21658.0,22457.0,2870.0,19523.0,2808.0,26.4,32.9
MUESTRA_022,Grifo_2,18,23194.0,21649.0,22431.0,2856.0,19550.0,2819.0,26.4,32.9
MUESTRA_022,Grifo_2,19,23185.0,21648.0,22439.0,2848.0,19549.0,2837.0,26.4,32.9
MUESTRA_022,Grifo_2,20,23189.0,21647.0,22442.0,2866.0,19547.0,2809.0,26.5,32.8
MUESTRA_022,Grifo_2,21,23198.0,21656.0,22478.0,2841.0,19563.0,2825.0,26.5,32.8
MUESTRA_022,Grifo_2,22,23206.0,21657.0,22461.0,2851.0,19520.0,2840.0,26.5,32.8
MUESTRA_022,Grifo_2,23,23197.0,21652.0,22456.0,2864.0,19525.0,2804.0,26.5,32.8
MUESTRA_022,Grifo_2,24,23197.0,21651.0,22469.0,2847.0,19543.0,2824.0,26.5,32.8
MUESTRA_022,Grifo_2,25,23182.0,21649.0,22461.0,2854.0,19519.0,2839.0,26.5,32.8
MUESTRA_022,Grifo_2,26,23193.0,21662.0,22465.0,2841.0,19532.0,2845.0,26.5,32.8
MUESTRA_022,Grifo_2,27,23195.0,21671.0,22468.0,2846.0,19557.0,2839.0,26.5,32.8
MUESTRA_022,Grifo_2,28,23187.0,21656.0,22462.0,2866.0,19534.0,2831.0,26.5,32.7
MUESTRA_022,Grifo_2,29,23186.0,21662.0,22429.0,2862.0,19521.0,2811.0,26.5,32.7
MUESTRA_022,Grifo_2,30,23192.0,21658.0,22453.0,2846.0,19520.0,2841.0,26.5,32.7
MUESTRA_023,Grifo_2,1,23193.0,21668.0,22451.0,2851.0,19524.0,2833.0,26.5,32.7
MUESTRA_023,Grifo_2,2,23194.0,21659.0,22452.0,2862.0,19525.0,2807.0,26.5,32.7
MUESTRA_023,Grifo_2,3,23195.0,21670.0,22460.0,2844.0,19540.0,2839.0,26.5,32.7
MUESTRA_023,Grifo_2,4,23181.0,21652.0,22452.0,2858.0,19527.0,2822.0,26.5,32.7
